file_stem,n_faces,face_any_disagree,face_label_disagree,face_label_err_rate,face_any_err_rate,n_edges,edge_any_disagree,edge_any_err_rate
00000042,36,1,1,0.027777777777777776,0.027777777777777776,194,11,0.05670103092783505
00000043,38,4,2,0.05263157894736842,0.10526315789473684,192,2,0.010416666666666666
00000044,14,0,0,0.0,0.0,52,0,0.0
00000045,25,2,2,0.08,0.08,128,12,0.09375
00000046,9,0,0,0.0,0.0,40,0,0.0
00000047,24,6,5,0.20833333333333334,0.25,142,4,0.028169014084507043
00000048,28,0,0,0.0,0.0,140,8,0.05714285714285714
00000049,19,0,0,0.0,0.0,100,2,0.02
00000902,30,1,1,0.03333333333333333,0.03333333333333333,162,2,0.012345679012345678
00003331,29,1,1,0.034482758620689655,0.034482758620689655,148,2,0.013513513513513514
00003531,39,0,0,0.0,0.0,206,16,0.07766990291262135
00003959,31,4,4,0.12903225806451613,0.12903225806451613,158,8,0.05063291139240506
00004219,37,2,1,0.02702702702702703,0.05405405405405406,188,12,0.06382978723404255
00011457,36,1,1,0.027777777777777776,0.027777777777777776,170,28,0.16470588235294117
00012218,27,6,2,0.07407407407407407,0.2222222222222222,152,4,0.02631578947368421
00012342,5,0,0,0.0,0.0,8,0,0.0
00012738,9,2,0,0.0,0.2222222222222222,32,8,0.25
00013459,20,0,0,0.0,0.0,90,0,0.0
00013497,22,0,0,0.0,0.0,108,7,0.06481481481481481
00014656,22,0,0,0.0,0.0,96,2,0.020833333333333332
00018356,29,1,1,0.034482758620689655,0.034482758620689655,150,40,0.26666666666666666
00020449,21,1,1,0.047619047619047616,0.047619047619047616,96,6,0.0625
00020996,26,1,0,0.0,0.038461538461538464,124,14,0.11290322580645161
00026134,21,1,1,0.047619047619047616,0.047619047619047616,92,20,0.21739130434782608
00028293,26,0,0,0.0,0.0,136,10,0.07352941176470588
00028730,37,3,3,0.08108108108108109,0.08108108108108109,190,34,0.17894736842105263
00028966,19,0,0,0.0,0.0,88,10,0.11363636363636363
00029330,24,1,0,0.0,0.041666666666666664,128,2,0.015625
00030570,17,0,0,0.0,0.0,76,20,0.2631578947368421
00032175,35,3,1,0.02857142857142857,0.08571428571428572,174,4,0.022988505747126436
00036128,21,0,0,0.0,0.0,114,8,0.07017543859649122
00036501,47,3,1,0.02127659574468085,0.06382978723404255,244,66,0.27049180327868855
00036543,23,2,2,0.08695652173913043,0.08695652173913043,118,2,0.01694915254237288
00044208,26,2,1,0.038461538461538464,0.07692307692307693,136,40,0.29411764705882354
00044687,50,2,0,0.0,0.04,256,28,0.109375
00047142,22,0,0,0.0,0.0,94,12,0.1276595744680851
00049889,28,3,2,0.07142857142857142,0.10714285714285714,130,48,0.36923076923076925
00049942,32,0,0,0.0,0.0,168,26,0.15476190476190477
00049943,21,1,1,0.047619047619047616,0.047619047619047616,88,12,0.13636363636363635
00049944,34,3,1,0.029411764705882353,0.08823529411764706,170,10,0.058823529411764705
00049945,35,3,3,0.08571428571428572,0.08571428571428572,162,48,0.2962962962962963
00049946,17,0,0,0.0,0.0,82,16,0.1951219512195122
00049947,45,6,2,0.044444444444444446,0.13333333333333333,238,8,0.03361344537815126
00049948,51,5,3,0.058823529411764705,0.09803921568627451,274,32,0.11678832116788321
00049949,39,1,1,0.02564102564102564,0.02564102564102564,184,6,0.03260869565217391
00049950,34,0,0,0.0,0.0,166,24,0.14457831325301204
00049951,35,1,0,0.0,0.02857142857142857,190,12,0.06315789473684211
00049952,40,5,3,0.075,0.125,210,6,0.02857142857142857
00049953,20,0,0,0.0,0.0,96,2,0.020833333333333332
00049954,24,0,0,0.0,0.0,126,42,0.3333333333333333
00049955,38,2,2,0.05263157894736842,0.05263157894736842,214,6,0.028037383177570093
